id,FormName,CIK,ValueDate,FilingDate,FormURL,ReportQuarter
189,the10k_2018,1000228,2018-12-29,2019-02-20,https://www.sec.gov/Archives/edgar/data/0001000228/000100022819000015/the10k_2018.htm,2018-10-01
190,ko-20231231,21344,2023-12-31,2024-02-20,https://www.sec.gov/Archives/edgar/data/0000021344/000002134424000009/ko-20231231.htm,2023-10-01
191,ko-20230929,21344,2023-09-29,2023-10-24,https://www.sec.gov/Archives/edgar/data/0000021344/000002134423000060/ko-20230929.htm,2023-07-01
192,ko-20230630,21344,2023-06-30,2023-07-27,https://www.sec.gov/Archives/edgar/data/0000021344/000002134423000048/ko-20230630.htm,2023-04-01
193,ko-20230331,21344,2023-03-31,2023-04-26,https://www.sec.gov/Archives/edgar/data/0000021344/000002134423000024/ko-20230331.htm,2023-01-01
194,ko-20221231,21344,2022-12-31,2023-02-21,https://www.sec.gov/Archives/edgar/data/0000021344/000002134423000011/ko-20221231.htm,2022-10-01
195,ko-20220930,21344,2022-09-30,2022-10-26,https://www.sec.gov/Archives/edgar/data/0000021344/000002134422000042/ko-20220930.htm,2022-07-01
196,ko-20220701,21344,2022-07-01,2022-07-27,https://www.sec.gov/Archives/edgar/data/0000021344/000002134422000034/ko-20220701.htm,2022-04-01
197,ko-20220401,21344,2022-04-01,2022-04-28,https://www.sec.gov/Archives/edgar/data/0000021344/000002134422000016/ko-20220401.htm,2022-01-01
198,ko-20211231,21344,2021-12-31,2022-02-22,https://www.sec.gov/Archives/edgar/data/0000021344/000002134422000009/ko-20211231.htm,2021-10-01
199,ko-20211001,21344,2021-10-01,2021-10-28,https://www.sec.gov/Archives/edgar/data/0000021344/000002134421000030/ko-20211001.htm,2021-07-01
200,ko-20210702,21344,2021-07-02,2021-07-26,https://www.sec.gov/Archives/edgar/data/0000021344/000002134421000024/ko-20210702.htm,2021-04-01
201,ko-20210402,21344,2021-04-02,2021-04-27,https://www.sec.gov/Archives/edgar/data/0000021344/000002134421000014/ko-20210402.htm,2021-01-01
202,ko-20201231,21344,2020-12-31,2021-02-25,https://www.sec.gov/Archives/edgar/data/0000021344/000002134421000008/ko-20201231.htm,2020-10-01
203,ko-20200925,21344,2020-09-25,2020-10-22,https://www.sec.gov/Archives/edgar/data/0000021344/000002134420000046/ko-20200925.htm,2020-07-01
204,ko-20200626,21344,2020-06-26,2020-07-22,https://www.sec.gov/Archives/edgar/data/0000021344/000002134420000041/ko-20200626.htm,2020-04-01
205,a2020032710-q,21344,2020-03-27,2020-04-24,https://www.sec.gov/Archives/edgar/data/0000021344/000002134420000014/a2020032710-q.htm,2020-01-01
206,a2019123110-k,21344,2019-12-31,2020-02-24,https://www.sec.gov/Archives/edgar/data/0000021344/000002134420000006/a2019123110-k.htm,2019-10-01
207,a2019092710-q,21344,2019-09-27,2019-10-24,https://www.sec.gov/Archives/edgar/data/0000021344/000002134419000042/a2019092710-q.htm,2019-07-01
208,a2019062810-q,21344,2019-06-28,2019-07-25,https://www.sec.gov/Archives/edgar/data/0000021344/000002134419000034/a2019062810-q.htm,2019-04-01
209,a2019032910-q,21344,2019-03-29,2019-04-25,https://www.sec.gov/Archives/edgar/data/0000021344/000002134419000028/a2019032910-q.htm,2019-01-01
210,a2018123110-k,21344,2018-12-31,2019-02-21,https://www.sec.gov/Archives/edgar/data/0000021344/000002134419000014/a2018123110-k.htm,2018-10-01
211,tmo-20231231,97745,2023-12-31,2024-02-22,https://www.sec.gov/Archives/edgar/data/0000097745/000009774524000007/tmo-20231231.htm,2023-10-01
212,tmo-20230930,97745,2023-09-30,2023-11-03,https://www.sec.gov/Archives/edgar/data/0000097745/000009774523000069/tmo-20230930.htm,2023-07-01
213,tmo-20230701,97745,2023-07-01,2023-08-04,https://www.sec.gov/Archives/edgar/data/0000097745/000009774523000059/tmo-20230701.htm,2023-04-01
214,tmo-20230401,97745,2023-04-01,2023-05-05,https://www.sec.gov/Archives/edgar/data/0000097745/000009774523000033/tmo-20230401.htm,2023-01-01
215,tmo-20221231,97745,2022-12-31,2023-02-23,https://www.sec.gov/Archives/edgar/data/0000097745/000009774523000008/tmo-20221231.htm,2022-10-01
216,tmo-20221001,97745,2022-10-01,2022-11-04,https://www.sec.gov/Archives/edgar/data/0000097745/000009774522000057/tmo-20221001.htm,2022-07-01
217,tmo-20220702,97745,2022-07-02,2022-08-05,https://www.sec.gov/Archives/edgar/data/0000097745/000009774522000047/tmo-20220702.htm,2022-04-01
218,tmo-20220402,97745,2022-04-02,2022-05-06,https://www.sec.gov/Archives/edgar/data/0000097745/000009774522000027/tmo-20220402.htm,2022-01-01
219,tmo-20211231,97745,2021-12-31,2022-02-24,https://www.sec.gov/Archives/edgar/data/0000097745/000009774522000011/tmo-20211231.htm,2021-10-01
220,tmo-20211002,97745,2021-10-02,2021-11-04,https://www.sec.gov/Archives/edgar/data/0000097745/000009774521000058/tmo-20211002.htm,2021-07-01
221,tmo-20210703,97745,2021-07-03,2021-08-06,https://www.sec.gov/Archives/edgar/data/0000097745/000009774521000045/tmo-20210703.htm,2021-04-01
222,tmo-20210403,97745,2021-04-03,2021-05-07,https://www.sec.gov/Archives/edgar/data/0000097745/000009774521000026/tmo-20210403.htm,2021-01-01
223,tmo-20201231,97745,2020-12-31,2021-02-25,https://www.sec.gov/Archives/edgar/data/0000097745/000009774521000011/tmo-20201231.htm,2020-10-01
224,tmo-20200926,97745,2020-09-26,2020-10-30,https://www.sec.gov/Archives/edgar/data/0000097745/000009774520000051/tmo-20200926.htm,2020-07-01
225,tmo-20200627,97745,2020-06-27,2020-07-31,https://www.sec.gov/Archives/edgar/data/0000097745/000009774520000038/tmo-20200627.htm,2020-04-01
226,tmo-20200328,97745,2020-03-28,2020-05-01,https://www.sec.gov/Archives/edgar/data/0000097745/000009774520000018/tmo-20200328.htm,2020-01-01
227,tmo-20191231,97745,2019-12-31,2020-02-26,https://www.sec.gov/Archives/edgar/data/0000097745/000009774520000009/tmo-20191231.htm,2019-10-01
228,q3201910q,97745,2019-09-28,2019-11-01,https://www.sec.gov/Archives/edgar/data/0000097745/000009774519000049/q3201910q.htm,2019-07-01
229,q2201910q,97745,2019-06-29,2019-08-02,https://www.sec.gov/Archives/edgar/data/0000097745/000009774519000035/q2201910q.htm,2019-04-01
230,q1201910q,97745,2019-03-30,2019-05-03,https://www.sec.gov/Archives/edgar/data/0000097745/000009774519000016/q1201910q.htm,2019-01-01
231,a201810k,97745,2018-12-31,2019-02-27,https://www.sec.gov/Archives/edgar/data/0000097745/000009774519000007/a201810k.htm,2018-10-01
232,ups-20231231,1090727,2023-12-31,2024-02-20,https://www.sec.gov/Archives/edgar/data/0001090727/000109072724000008/ups-20231231.htm,2023-10-01
